Date,Temperature,HeatIndex,Precipitation,WindSpeed,WindDirection,Visibility,CloudCover,RelativeHumidity
12/1/2012 10:00,27.34903497,31.95397629,-0.026768367,8.767563698,208.0274156,8.434284024,41.55165553,89.61183765
12/1/2012 11:00,31.71289694,36.65891583,0.016093212,14.48577178,104.7277943,9.236775621,32.01764524,59.50461987
12/1/2012 13:00,32.3860033,38.61417503,0.077535165,15.11591702,88.76414859,10.1866256,34.90597606,59.36361881
12/1/2012 14:00,32.50137177,38.25924451,0.100047826,17.14412688,86.12524639,10.23309357,36.40645742,57.21819149
12/1/2012 15:00,33.13002634,36.63350637,0.055714133,17.5446841,96.07243887,10.57382229,36.02916002,47.81273052
12/1/2012 16:00,32.34022622,36.42277391,0.027698372,17.74113111,98.0981388,10.57699212,34.15174484,53.92664242
12/1/2012 17:00,32.02272964,36.36457415,0.011228183,18.00540222,89.52310967,10.49759333,34.80840325,57.35414753
12/1/2012 18:00,30.73480446,35.93389673,0.005078143,15.57532414,104.843066,10.48486463,31.37729466,66.2141066
12/1/2012 19:00,30.85933735,36.09101982,0.013771933,13.04198877,103.4721233,10.4122351,32.99800158,65.64751701
12/1/2012 20:00,30.89366541,36.78573198,0.020912117,13.35209044,102.5905218,10.06734041,33.09234083,68.70434723
12/1/2012 21:00,29.81900221,35.13846798,0.170652857,8.595447026,112.1877011,9.358559138,38.78773153,72.83332531
12/1/2012 22:00,29.77955922,34.66692014,0.023062625,11.33470638,119.3618736,9.939261717,31.53865039,69.31352081
12/1/2012 23:00,29.18093312,34.33366443,-0.296937698,9.610903492,211.9060009,8.592069493,52.94269323,79.0351281
12/2/2012 0:00,29.14246845,33.29683704,0.041561639,7.611844897,193.0061223,8.595903186,37.6047492,72.41288788
12/2/2012 1:00,28.8746237,33.22800828,0.133251857,8.595838971,237.3791904,8.685323108,43.08116734,76.40502193
12/2/2012 6:00,28.08540312,32.13746388,0.049474095,9.063236377,218.3867491,7.994334614,40.78751802,78.64650097
12/2/2012 7:00,27.84700193,32.96539505,0.533314389,7.454449148,198.8863588,6.748807885,37.59579659,85.68472298
12/2/2012 9:00,29.225091,33.76195241,-0.028034016,11.8367585,197.3464049,7.937964389,20.79835236,74.98888981
12/2/2012 10:00,30.43466417,35.94790239,0.011068755,13.41871843,108.498402,9.975780158,32.48473108,68.64513905
12/2/2012 12:00,30.98513997,36.86124856,0.021300698,12.13163783,103.7761678,9.70067049,33.36556256,67.23247242
12/2/2012 13:00,32.79275444,38.16897876,0.03912298,13.34454347,85.78951657,10.50180865,35.97985208,57.09831741
12/2/2012 14:00,32.3052623,37.11429842,0.003914977,17.19313219,73.25197343,10.16418998,38.8395071,59.78046894
12/2/2012 15:00,33.30348108,38.45918233,0.046198722,15.87187127,72.34060682,10.79218914,39.46757019,54.10786606
12/2/2012 16:00,32.54267979,37.08224661,0.012733154,15.87751393,84.4377474,10.79494328,36.20594144,56.31587276
12/2/2012 18:00,27.73382106,31.22835929,0.045503215,15.20872965,115.5527774,9.907326328,35.04686952,73.63497166
12/3/2012 7:00,27.98281299,31.58193673,0.038764486,11.19502655,215.6162672,6.527254866,36.36156321,73.96395054
12/3/2012 9:00,28.01594029,32.27190078,0.275711808,6.750099894,173.0695199,4.924016472,30.78578413,82.50822693
